"Location","Locationcode","Resono-ID","Start","End","Visits"
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T00:00:00+00:00","2020-10-10T00:14:59+00:00",28
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T00:15:00+00:00","2020-10-10T00:29:59+00:00",16
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T00:30:00+00:00","2020-10-10T00:44:59+00:00",82
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T00:45:00+00:00","2020-10-10T00:59:59+00:00",64
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T01:00:00+00:00","2020-10-10T01:14:59+00:00",51
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T01:15:00+00:00","2020-10-10T01:29:59+00:00",49
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T01:30:00+00:00","2020-10-10T01:44:59+00:00",17
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T01:45:00+00:00","2020-10-10T01:59:59+00:00",17
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T02:00:00+00:00","2020-10-10T02:14:59+00:00",15
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T02:15:00+00:00","2020-10-10T02:29:59+00:00",13
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T02:30:00+00:00","2020-10-10T02:44:59+00:00",6
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T02:45:00+00:00","2020-10-10T02:59:59+00:00",5
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T03:00:00+00:00","2020-10-10T03:14:59+00:00",5
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T03:15:00+00:00","2020-10-10T03:29:59+00:00",5
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T03:30:00+00:00","2020-10-10T03:44:59+00:00",5
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T03:45:00+00:00","2020-10-10T03:59:59+00:00",5
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T04:00:00+00:00","2020-10-10T04:14:59+00:00",4
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T04:15:00+00:00","2020-10-10T04:29:59+00:00",72
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T04:30:00+00:00","2020-10-10T04:44:59+00:00",54
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T04:45:00+00:00","2020-10-10T04:59:59+00:00",41
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T05:00:00+00:00","2020-10-10T05:14:59+00:00",41
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T05:15:00+00:00","2020-10-10T05:29:59+00:00",11
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T05:30:00+00:00","2020-10-10T05:44:59+00:00",79
"Kleine Gartmanplantsoen","0b10410a-5fb8-4569-834a-b468c5f73bcb","rcd23003","2020-10-10T05:45:00+00:00","2020-10-10T05:59:59+00:00",62
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T00:00:00+00:00","2020-10-10T00:14:59+00:00",20
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T00:15:00+00:00","2020-10-10T00:29:59+00:00",16
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T00:30:00+00:00","2020-10-10T00:44:59+00:00",15
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T00:45:00+00:00","2020-10-10T00:59:59+00:00",15
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T01:00:00+00:00","2020-10-10T01:14:59+00:00",13
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T01:15:00+00:00","2020-10-10T01:29:59+00:00",10
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T01:30:00+00:00","2020-10-10T01:44:59+00:00",63
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T01:45:00+00:00","2020-10-10T01:59:59+00:00",48
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T02:00:00+00:00","2020-10-10T02:14:59+00:00",91
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T02:15:00+00:00","2020-10-10T02:29:59+00:00",187
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T02:30:00+00:00","2020-10-10T02:44:59+00:00",125
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T02:45:00+00:00","2020-10-10T02:59:59+00:00",105
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T03:00:00+00:00","2020-10-10T03:14:59+00:00",81
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T03:15:00+00:00","2020-10-10T03:29:59+00:00",86
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T03:30:00+00:00","2020-10-10T03:44:59+00:00",122
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T03:45:00+00:00","2020-10-10T03:59:59+00:00",98
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T04:00:00+00:00","2020-10-10T04:14:59+00:00",82
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T04:15:00+00:00","2020-10-10T04:29:59+00:00",102
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T04:30:00+00:00","2020-10-10T04:44:59+00:00",63
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T04:45:00+00:00","2020-10-10T04:59:59+00:00",109
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T05:00:00+00:00","2020-10-10T05:14:59+00:00",95
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T05:15:00+00:00","2020-10-10T05:29:59+00:00",110
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T05:30:00+00:00","2020-10-10T05:44:59+00:00",144
"Leidsebuurt Noordwest","0cb89475-37a2-44d8-b448-a7ad33c68765","rcd23004","2020-10-10T05:45:00+00:00","2020-10-10T05:59:59+00:00",151
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T00:00:00+00:00","2020-10-10T00:14:59+00:00",39
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T00:15:00+00:00","2020-10-10T00:29:59+00:00",26
