"Datum";"AankomstHalteCode";"AankomstHalteNaam";"AankomstLat";"AankomstLon";"AantalReizen"
"10/12/2020 12:00:00 AM";"00059";"Radioweg";"4.93945830";"52.35337100";"70"
"10/12/2020 12:00:00 AM";"00060";"Radioweg";"4.93979325";"52.35363291";"15"
"10/12/2020 12:00:00 AM";"00061";"Archimedesweg";"4.93965454";"52.35574450";"44"
"10/12/2020 12:00:00 AM";"00062";"Archimedesweg";"4.93987652";"52.35556558";"13"
"10/12/2020 12:00:00 AM";"00065";"Hugo de Vrieslaan";"4.93487340";"52.35101676";"114"
"10/12/2020 12:00:00 AM";"00066";"Hugo de Vrieslaan";"4.93540468";"52.35073118";"42"
"10/12/2020 12:00:00 AM";"00070";"Kruislaan";"4.93993910";"52.34789929";"188"
"10/12/2020 12:00:00 AM";"00071";"Kruislaan";"4.94045564";"52.34761364";"28"
"10/12/2020 12:00:00 AM";"00074";"Brinkstraat";"4.94797289";"52.34285131";"224"
"10/12/2020 12:00:00 AM";"00076";"Brinkstraat";"4.94742604";"52.34324474";"30"
"10/12/2020 12:00:00 AM";"00079";"Zaaiersweg";"4.93840610";"52.33984947";"36"
"10/12/2020 12:00:00 AM";"00080";"Zaaiersweg";"4.93948574";"52.33900871";"30"
"10/12/2020 12:00:00 AM";"00113";"Dennenrode";"4.95124546";"52.32191297";"31"
"10/12/2020 12:00:00 AM";"00114";"Dennenrode";"4.95213839";"52.32209601";"132"
"10/12/2020 12:00:00 AM";"00116";"Station Ganzenhoef";"4.97272915";"52.32237665";"209"
"10/12/2020 12:00:00 AM";"00118";"Echtenstein";"4.95952116";"52.32463051";"62"
"10/12/2020 12:00:00 AM";"00119";"Echtenstein";"4.95972461";"52.32482898";"19"
"10/12/2020 12:00:00 AM";"00124";"Geldershoofd";"4.97091549";"52.32495876";"20"
"10/12/2020 12:00:00 AM";"00125";"Geldershoofd";"4.97088414";"52.32517435";"28"
"10/12/2020 12:00:00 AM";"00126";"Grubbehoeve";"4.97626815";"52.32352145";"35"
"10/12/2020 12:00:00 AM";"00127";"Grubbehoeve";"4.97765851";"52.32385882";"46"
"10/12/2020 12:00:00 AM";"00128";"Geerdinkhof";"4.98077720";"52.32287193";"41"
"10/12/2020 12:00:00 AM";"00129";"Geerdinkhof";"4.98025676";"52.32364309";"21"
"10/12/2020 12:00:00 AM";"00134";"Koornhorst";"4.98400929";"52.31907218";"123"
"10/12/2020 12:00:00 AM";"00135";"Koornhorst";"4.98396309";"52.31931470";"24"
"10/12/2020 12:00:00 AM";"00141";"Kraaienneststation";"4.97868390";"52.31603403";"318"
"10/12/2020 12:00:00 AM";"00144";"Kikkenstein";"4.97237050";"52.31680298";"38"
"10/12/2020 12:00:00 AM";"00145";"Kikkenstein";"4.97271326";"52.31621998";"136"
"10/12/2020 12:00:00 AM";"00146";"Gooioord";"4.96906535";"52.32048532";"76"
