"Datum";"VertrekHalteCode";"VertrekHalteNaam";"VertrekLat";"VertrekLon";"AantalReizen"
"10/12/2020 12:00:00 AM";"00296";"Dalsteindreef";"4.94241589";"52.32481012";"26"
"10/12/2020 12:00:00 AM";"00305";"Leusdenhof";"4.97849180";"52.30981383";"65"
"10/12/2020 12:00:00 AM";"00306";"Leusdenhof";"4.97837367";"52.30990330";"13"
"10/12/2020 12:00:00 AM";"00307";"Leerdamhof";"4.97402711";"52.30740757";"25"
"10/12/2020 12:00:00 AM";"00330";"Middenweg";"4.93455629";"52.35044932";"30"
"10/12/2020 12:00:00 AM";"00332";"Schoonhovendreef";"4.97449053";"52.29381965";"23"
"10/12/2020 12:00:00 AM";"00334";"Scherpenzeelstraat";"4.97740256";"52.29276921";"23"
"10/12/2020 12:00:00 AM";"00336";"Schaarsbergenstraat";"4.98158109";"52.29265779";"29"
"10/12/2020 12:00:00 AM";"00338";"Staverdenplein";"4.98602093";"52.29282573";"23"
"10/12/2020 12:00:00 AM";"00344";"W. Gertenbachstraat";"4.98929405";"52.29888557";"30"
"10/12/2020 12:00:00 AM";"00345";"Station Gein";"4.98911240";"52.29625153";"13"
"10/12/2020 12:00:00 AM";"00346";"Station Gein";"4.98935990";"52.29644111";"64"
"10/12/2020 12:00:00 AM";"00349";"Woudrichemstraat";"4.98905625";"52.29433694";"11"
"10/12/2020 12:00:00 AM";"00351";"Dostojevskisingel";"4.94525272";"52.32275356";"59"
"10/12/2020 12:00:00 AM";"00352";"Dostojevskisingel";"4.94457408";"52.32314649";"144"
"10/12/2020 12:00:00 AM";"00364";"Boven Rijkersloot";"4.95497934";"52.33462636";"20"
"10/12/2020 12:00:00 AM";"00370";"Plataanstraat";"4.94100436";"52.33244440";"31"
"10/12/2020 12:00:00 AM";"00371";"Plataanstraat";"4.94103424";"52.33239059";"26"
"10/12/2020 12:00:00 AM";"00420";"Wamelstraat";"4.98556075";"52.30157827";"22"
"10/12/2020 12:00:00 AM";"00422";"Veenendaalplein";"4.98041495";"52.30156069";"36"
"10/12/2020 12:00:00 AM";"00432";"Diemerbrug";"4.96142958";"52.33824484";"10"
"10/12/2020 12:00:00 AM";"00433";"Diemerbrug";"4.96098811";"52.33837807";"241"
"10/12/2020 12:00:00 AM";"00434";"Bijlmerplein";"4.95032022";"52.31457553";"159"
"10/12/2020 12:00:00 AM";"00436";"Industrieweg";"4.94609590";"52.33533058";"27"
"10/12/2020 12:00:00 AM";"00437";"Industrieweg";"4.94540223";"52.33574143";"15"
"10/12/2020 12:00:00 AM";"00441";"Muiderpoortstation";"4.93254137";"52.36088532";"374"
"10/12/2020 12:00:00 AM";"00442";"Beukenhorst";"4.96005659";"52.33759278";"97"
"10/12/2020 12:00:00 AM";"00443";"Beukenhorst";"4.96005866";"52.33737708";"14"
"10/12/2020 12:00:00 AM";"00444";"Linnaeusstraat";"4.92490296";"52.35991203";"139"
"10/12/2020 12:00:00 AM";"00453";"Diemen Sniep";"4.96964866";"52.33644962";"227"
"10/12/2020 12:00:00 AM";"00464";"Hogeschool InHolland";"4.95958754";"52.32687769";"41"
"10/12/2020 12:00:00 AM";"00465";"Hogeschool InHolland";"4.95988065";"52.32690571";"61"
