,Datetime,Location,Visits,Date,Time,Journeys,Windspeed,Temperature,Clouds,Rain amount,Rain duration,Sun duration,Fog,Rain,Snow,Thunder,Ice,Holiday_Count,Year,Month,Day_x,Holiday_Name_Ascension Thursday,Holiday_Name_Easter,Holiday_Name_Fall holiday,Holiday_Name_Good Friday,Holiday_Name_Kings day,Holiday_Name_Liberation Day,Holiday_Name_May holiday,Holiday_Name_Spring holiday,Holiday_Name_Summer holiday,Holiday_Name_Whit,Holiday_Name_Winter holiday,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,stringency_index
688879,2021-12-19 00:15:00,Noorderpark,185.0,2021-12-19,00:15:00,42.92857142857143,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688880,2021-12-19 00:15:00,Oosterpark,140.0,2021-12-19,00:15:00,112.75,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688881,2021-12-19 00:15:00,Park Frankendael,97.0,2021-12-19,00:15:00,108.89285714285714,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688882,2021-12-19 00:15:00,Sarphatipark,88.0,2021-12-19,00:15:00,174.28571428571428,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688883,2021-12-19 00:15:00,Vondelpark Oost 1,203.0,2021-12-19,00:15:00,37.46428571428572,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688884,2021-12-19 00:15:00,Sloterpark,77.0,2021-12-19,00:15:00,10.38888888888889,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688885,2021-12-19 00:15:00,WH Vliegenbos,40.0,2021-12-19,00:15:00,42.92857142857143,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688886,2021-12-19 00:15:00,Vondelpark Oost 2,86.0,2021-12-19,00:15:00,18.678571428571427,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688887,2021-12-19 00:15:00,Vondelpark Oost 3,41.0,2021-12-19,00:15:00,30.25,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688888,2021-12-19 00:15:00,Vondelpark West,217.0,2021-12-19,00:15:00,41.138888888888886,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688889,2021-12-19 00:15:00,Westergasfabriek,28.0,2021-12-19,00:15:00,10.13888888888889,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688890,2021-12-19 00:15:00,Westerpark Centrum,25.0,2021-12-19,00:15:00,10.13888888888889,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688891,2021-12-19 00:15:00,Westerpark Oost,37.0,2021-12-19,00:15:00,10.13888888888889,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688892,2021-12-19 00:15:00,Westerpark West,30.0,2021-12-19,00:15:00,12.045454545454543,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688893,2021-12-19 00:30:00,Amstelpark,32.0,2021-12-19,00:30:00,22.428571428571427,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688894,2021-12-19 00:30:00,Beatrixpark,106.0,2021-12-19,00:30:00,153.14285714285714,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688895,2021-12-19 00:30:00,Erasmuspark,78.0,2021-12-19,00:30:00,36.05555555555556,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688896,2021-12-19 00:30:00,Flevopark,35.0,2021-12-19,00:30:00,36.25,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688897,2021-12-19 00:30:00,Gaasperpark,38.0,2021-12-19,00:30:00,18.318181818181817,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688898,2021-12-19 00:30:00,Nelson Mandelapark,50.0,2021-12-19,00:30:00,11.884615384615383,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688899,2021-12-19 00:30:00,Noorderpark,111.0,2021-12-19,00:30:00,41.85714285714285,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688900,2021-12-19 00:30:00,Oosterpark,141.0,2021-12-19,00:30:00,110.5,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688901,2021-12-19 00:30:00,Park Frankendael,95.0,2021-12-19,00:30:00,105.78571428571428,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688902,2021-12-19 00:30:00,Sarphatipark,94.0,2021-12-19,00:30:00,169.57142857142858,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688903,2021-12-19 00:30:00,Vondelpark Oost 1,183.0,2021-12-19,00:30:00,36.92857142857143,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688904,2021-12-19 00:30:00,Sloterpark,76.0,2021-12-19,00:30:00,10.77777777777778,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688905,2021-12-19 00:30:00,WH Vliegenbos,40.0,2021-12-19,00:30:00,41.85714285714285,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688906,2021-12-19 00:30:00,Vondelpark Oost 2,80.0,2021-12-19,00:30:00,18.357142857142858,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688907,2021-12-19 00:30:00,Vondelpark Oost 3,29.0,2021-12-19,00:30:00,29.5,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688908,2021-12-19 00:30:00,Vondelpark West,113.0,2021-12-19,00:30:00,40.27777777777778,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688909,2021-12-19 00:30:00,Westergasfabriek,28.0,2021-12-19,00:30:00,10.166666666666666,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688910,2021-12-19 00:30:00,Westerpark Centrum,25.0,2021-12-19,00:30:00,10.166666666666666,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688911,2021-12-19 00:30:00,Westerpark Oost,37.0,2021-12-19,00:30:00,10.166666666666666,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688912,2021-12-19 00:30:00,Westerpark West,30.0,2021-12-19,00:30:00,12.454545454545457,4.0,6.5,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688913,2021-12-19 00:45:00,Amstelpark,30.0,2021-12-19,00:45:00,23.142857142857142,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688914,2021-12-19 00:45:00,Beatrixpark,67.0,2021-12-19,00:45:00,152.71428571428572,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688915,2021-12-19 00:45:00,Erasmuspark,60.0,2021-12-19,00:45:00,35.583333333333336,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688916,2021-12-19 00:45:00,Flevopark,27.0,2021-12-19,00:45:00,35.791666666666664,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688917,2021-12-19 00:45:00,Gaasperpark,38.0,2021-12-19,00:45:00,18.204545454545453,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688918,2021-12-19 00:45:00,Nelson Mandelapark,36.0,2021-12-19,00:45:00,12.01923076923077,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688919,2021-12-19 00:45:00,Noorderpark,60.0,2021-12-19,00:45:00,40.785714285714285,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688920,2021-12-19 00:45:00,Oosterpark,97.0,2021-12-19,00:45:00,108.25,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688921,2021-12-19 00:45:00,Park Frankendael,57.0,2021-12-19,00:45:00,102.67857142857144,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688922,2021-12-19 00:45:00,Sarphatipark,84.0,2021-12-19,00:45:00,164.85714285714286,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688923,2021-12-19 00:45:00,Vondelpark Oost 1,177.0,2021-12-19,00:45:00,36.392857142857146,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688924,2021-12-19 00:45:00,Sloterpark,60.0,2021-12-19,00:45:00,11.166666666666666,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688925,2021-12-19 00:45:00,WH Vliegenbos,40.0,2021-12-19,00:45:00,40.785714285714285,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688926,2021-12-19 00:45:00,Vondelpark Oost 2,71.0,2021-12-19,00:45:00,18.035714285714285,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688927,2021-12-19 00:45:00,Vondelpark Oost 3,29.0,2021-12-19,00:45:00,28.75,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688928,2021-12-19 00:45:00,Vondelpark West,83.0,2021-12-19,00:45:00,39.41666666666666,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688929,2021-12-19 00:45:00,Westergasfabriek,28.0,2021-12-19,00:45:00,10.194444444444445,4.0,6.55,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
